log_mono_ns,lat,lon,speed_mps,actual_steer_angle_deg
0.0,35.1823543,-97.435558,0.013,1.7
10000000.0,35.1823543,-97.435558,0.013,1.7
20000000.0,35.1823543,-97.435558,0.013,1.7
30000000.0,35.1823543,-97.435558,0.013,1.7
40000000.0,35.1823543,-97.435558,0.013,1.7
50000000.0,35.1823543,-97.435558,0.013,1.7
60000000.0,35.1823543,-97.435558,0.013,1.7
70000000.0,35.1823543,-97.435558,0.013,1.7
80000000.0,35.1823543,-97.435558,0.013,1.7
90000000.0,35.1823543,-97.435558,0.013,1.7
100000000.0,35.1823543,-97.435558,0.013,1.7
110000000.0,35.1823543,-97.435558,0.013,1.7
120000000.0,35.1823543,-97.435558,0.013,1.7
130000000.0,35.1823543,-97.435558,0.013,1.7
140000000.0,35.1823543,-97.435558,0.013,1.7
150000000.0,35.1823543,-97.435558,0.013,1.7
160000000.0,35.1823543,-97.435558,0.013,1.7
170000000.0,35.1823543,-97.435558,0.013,1.7
180000000.0,35.1823543,-97.435558,0.013,1.7
190000000.0,35.1823543,-97.435558,0.013,1.7
200000000.0,35.1823543,-97.435558,0.013,1.7
210000000.0,35.1823541992478,-97.43555834894664,0.014204111654082415,1.7
220000000.0,35.18235404591291,-97.43555888000894,0.016036650561230187,1.7
230000000.0,35.18235389257802,-97.43555941107124,0.017869189468377955,1.7
240000000.0,35.18235373924313,-97.43555994213352,0.019701728375525727,1.7
250000000.0,35.182353585908245,-97.43556047319582,0.0215342672826735,1.7
260000000.0,35.18235343257336,-97.43556100425812,0.023366806189821267,1.7
270000000.0,35.18235327923847,-97.43556153532042,0.02519934509696904,1.7
280000000.0,35.18235312590358,-97.43556206638272,0.02703188400411681,1.7
290000000.0,35.182352972568694,-97.435562597445,0.02886442291126458,1.7
300000000.0,35.182352819233806,-97.4355631285073,0.030696961818412354,1.7
310000000.0,35.18235266589892,-97.4355636595696,0.03252950072556012,1.7
320000000.0,35.18235251256403,-97.4355641906319,0.03436203963270789,1.7
330000000.0,35.18235235922914,-97.43556472169419,0.036194578539855665,1.7
340000000.0,35.182352205894254,-97.43556525275648,0.03802711744700343,1.7
350000000.0,35.18235205255937,-97.43556578381877,0.0398596563541512,1.7
360000000.0,35.18235189922448,-97.43556631488107,0.04169219526129898,1.7
370000000.0,35.18235174588959,-97.43556684594337,0.043524734168446745,1.7
380000000.0,35.1823515925547,-97.43556737700567,0.04535727307559451,1.7
390000000.0,35.182351439219815,-97.43556790806797,0.04718981198274228,1.7
400000000.0,35.18235128588493,-97.43556843913025,0.04902235088989006,1.7
410000000.0,35.18235113255004,-97.43556897019255,0.050854889797037825,1.7
420000000.0,35.18235097921515,-97.43556950125485,0.05268742870418559,1.7
430000000.0,35.18235082588026,-97.43557003231714,0.05451996761133337,1.7
440000000.0,35.182350672545375,-97.43557056337944,0.05635250651848114,1.7
450000000.0,35.18235051921049,-97.43557109444173,0.058185045425628905,1.7
460000000.0,35.1823503658756,-97.43557162550402,0.06001758433277668,1.7
470000000.0,35.18235021254071,-97.43557215656632,0.06185012323992445,1.7
480000000.0,35.18235028406554,-97.43557243691197,0.0628788669849239,1.7
490000000.0,35.182350375618896,-97.43557269492597,0.06383601571907888,1.7
